Date;Open;High;Low;Close;Adj Close;Volume
3/10/2019;28.280.001;28.780.001;27.430.000;28.680.000;28.680.000;56325200
4/10/2019;28.830.000;29.059.999;28.280.001;29.010.000;29.010.000;34446700
7/10/2019;28.900.000;29.629.999;28.840.000;28.930.000;28.930.000;39337200
8/10/2019;28.549.999;28.639.999;27.920.000;28.230.000;28.230.000;44265700
9/10/2019;28.799.999;28.950.001;28.350.000;28.459.999;28.459.999;35661500
10/10/2019;28.520.000;28.889.999;28.000.000;28.379.999;28.379.999;40660100
11/10/2019;28.830.000;30.200.001;28.809.999;29.750.000;29.750.000;66256900
14/10/2019;29.709.999;30.610.001;29.379.999;30.530.001;30.530.001;44473700
15/10/2019;30.700.001;30.920.000;30.170.000;30.719.999;30.719.999;41600700
16/10/2019;30.600.000;31.410.000;30.530.001;30.809.999;30.809.999;42804400
17/10/2019;31.299.999;31.400.000;30.860.001;31.139.999;31.139.999;36884400
18/10/2019;31.059.999;31.330.000;30.290.001;30.969.999;30.969.999;39681700
21/10/2019;31.500.000;32.259.998;31.410.000;32.029.999;32.029.999;52182800
22/10/2019;32.060.001;32.150.002;31.500.000;31.510.000;31.510.000;36185200
23/10/2019;31.090.000;31.650.000;30.830.000;31.360.001;31.360.001;26582200
24/10/2019;31.580.000;31.860.001;31.340.000;31.719.999;31.719.999;27808000
25/10/2019;31.900.000;32.860.001;31.830.000;32.709.999;32.709.999;45368800
28/10/2019;33.160.000;33.910.000;33.150.002;33.689.999;33.689.999;51223600
29/10/2019;33.730.000;33.900.002;32.700.001;33.029.999;33.029.999;78700100
30/10/2019;32.930.000;33.340.000;32.029.999;33.130.001;33.130.001;78228800
31/10/2019;32.980.000;34.340.000;32.820.000;33.930.000;33.930.000;67881600
1/11/2019;34.369.999;35.000.000;34.099.998;34.889.999;34.889.999;64238600
4/11/2019;35.189.999;36.450.001;34.759.998;36.290.001;36.290.001;83343800
5/11/2019;36.560.001;37.180.000;35.980.000;36.150.002;36.150.002;84848600
6/11/2019;36.060.001;36.480.000;35.520.000;35.930.000;35.930.000;51675100
7/11/2019;36.520.000;36.990.002;36.029.999;36.279.999;36.279.999;54350200
8/11/2019;36.060.001;36.580.002;36.000.000;36.290.001;36.290.001;39353900
11/11/2019;35.959.999;36.660.000;35.580.002;36.310.001;36.310.001;43511100
12/11/2019;36.430.000;37.130.001;36.400.002;36.709.999;36.709.999;58664500
13/11/2019;36.650.002;37.959.999;36.580.002;37.520.000;37.520.000;67648300
14/11/2019;37.509.998;38.500.000;37.360.001;38.349.998;38.349.998;65829500
15/11/2019;38.939.999;39.369.999;38.340.000;38.560.001;38.560.001;62958500
18/11/2019;38.650.002;39.990.002;38.599.998;39.880.001;39.880.001;66102800
19/11/2019;40.139.999;41.790.001;39.689.999;41.290.001;41.290.001;94373000
20/11/2019;40.959.999;41.750.000;40.070.000;40.980.000;40.980.000;79767900
21/11/2019;40.419.998;40.709.999;38.639.999;39.520.000;39.520.000;88069400
22/11/2019;39.360.001;39.889.999;38.189.999;39.150.002;39.150.002;56931900
25/11/2019;39.500.000;40.169.998;39.490.002;39.790.001;39.790.001;45769500
26/11/2019;39.299.999;39.480.000;38.810.001;38.990.002;38.990.002;43603300
